Product ID,Product Name,Product Category,Date of Release,Date of Purchase,User Name,Age,Sex,Location,Review
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Electronics,2017-03-03T16:56:05Z,2018-10-25T16:36:31Z,jiloi,22,M,,If you really want to have a good read on something digital this is the item you're looking for. It really is lightweight and highly functional. The battery lasts a long time and the screen is easy on the eyes. The only difficulty sometimes is reading in extremely bright environments. Overall an excellent buy.
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Electronics,2017-03-03T16:56:05Z,2018-10-25T16:36:31Z,Sean242,28,M,,"Love my kindle, makes reading at night so easy and it feels like you are reading a real book."
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Electronics,2017-03-03T16:56:05Z,2018-10-25T16:36:31Z,Jackie,35,F,,Good product for child. Who only need to read the books
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Electronics,2017-03-03T16:56:05Z,2018-10-25T16:36:31Z,grandma,32,M,,This Kindle is a convenient size yet lettering is easy to read.
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Electronics,2017-03-03T16:56:05Z,2018-10-25T16:36:31Z,BeeRocker,50,F,,"I use this every day on my commute. Great battery life, no backlight but very readable with normal lighting. I like the built in dictionary. Email yourself pdf or mobi files for easy transfers."
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Electronics,2017-03-03T16:56:05Z,2018-10-25T16:36:31Z,Chillypr,55,M,,It does its job but I would buy one which the screen is brighter. There are times that it's difficult to read because screen is not too bright
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Electronics,2017-03-03T16:56:05Z,2018-10-25T16:36:31Z,John,54,F,,Great product for myself! And I bought it when there was great deal on it!
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Electronics,2017-03-03T16:56:05Z,2018-10-25T16:36:31Z,Bill,36,F,,Item work well and was easy to read from in day light
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Electronics,2017-03-03T16:56:05Z,2018-10-25T16:36:31Z,richard,45,M,,Great product and service will refer to a friend. And the sales man r good
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Electronics,2017-03-03T16:56:05Z,2018-10-25T16:36:31Z,Superuser37,66,F,,Everything is great except that i can't read external pdfs properly. Either it zooms too much of too little. For kindle books it provides great experience. Battery life is awesome!
